ItemID,Status,ItemName,HELPER COLUMN
HI-000573,Active,Sieve,
HI-000574,Active,Vanilla Extract,
HI-000575,Active,Golden Cord Thick,
HI-000576,Active,Golden Cord Thin Spool,
HI-000577,Active,Red Velvet Cover,
HI-000578,Active,Massage Oil Dispensers,
HI-000579,Active,Small Paper Box,
HI-000346,Active,Massage Oil,
HI-000580,Active,Fairy Lights Battery Operated,
HI-000581,Active,Lantern Mini Torch Battery Operated,
HI-000582,Active,Pillows in Black Pillow Cases,
HI-000583,Active,Glamping Tent,
HI-000584,Active,Silver Fly,
HI-000585,Active,5.2 Mtr Sq Tarp Use under Glamping Tents),
HI-000586,Active,Glamping Tent for Crew Only,
HI-000588,Active,Synthetic Grass,
HI-000589,Active,Black Rubber Mats,
HI-000591,Active,Spare Tent Pegs Black Bucket,
HI-000592,Active,Carpet,
HI-000593,Active,Co Enzyme Pink,
HI-000594,Active,Co Enzyme White,
HI-000595,Active,Sauce Squeeze Bottle 1 Ltr Incl Lid,
HI-000596,Active,Trigger Spray Bottle,
HI-000598,Active,Gloves Disposalble,
HI-000604,Active,Toilet Paper Rolls Pk of 24,
HI-000605,Active,Paper Hand Towels 23 x 23.5 cm Eclipse Brand,
HI-000609,Active,Laundry Bag Blue,
HI-000610,Active,Tea Towel,
HI-000611,Active,Black Towel,
HI-000612,Active,Disposable Foil Oven Trays Lge,
HI-000613,Active,Disposable Foil Oven Trays Medium,
HI-000614,Active,Large Yellow Sponge 2 pk,
HI-000616,Active,Scourer Metal,
HI-000617,Active,Scrubbing Brush,
HI-000621,Active,Eucalyptus Oil Pure 100ml,
HI-000622,Active,Eucalyptus Oil Soluble 500ml,
HI-000623,Active,White Vinegar,
HI-000624,Active,Baking Soda,
HI-000625,Active,Mocconna Coffee Jar 400gm,
HI-000626,Active,Black Tea Bags,
HI-000627,Active,Peppermint Tea,
HI-000628,Active,Honey Squeezable Bottle,
